ncessch,leanm,schnam,mcity,mstate,fte,gslo,gshi,level,titlei,magnet,chartr,frelch,redlch,totfrl,member,am,asian,hisp,black,white,pacific,tr,toteth
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PHILLIP O BERRY ACADEMY OF TECHNOLOGY,CHARLOTTE,NC,92.05000305,09,12,3,1,1,2,909,158,1067,1591,9,53,222,1226,52,0,29,1591
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PROVIDENCE SPRING ELEMENTARY,CHARLOTTE,NC,42.45999908,KG,05,1,2,2,2,32,3,35,837,1,121,22,44,634,1,14,837
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WALTER G BYERS SCHOOL,CHARLOTTE,NC,46.61000061,PK,08,1,1,2,2,455,8,463,496,9,7,17,460,0,1,2,496
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ENDHAVEN ELEMENTARY,CHARLOTTE,NC,41.79000092,PK,05,1,2,2,2,164,32,196,733,3,92,109,104,406,2,17,733
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,JOSEPH W GRIER ACADEMY,CHARLOTTE,NC,48.11000061,PK,05,1,1,2,2,597,52,649,807,4,34,275,428,45,3,18,807
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MINT HILL MIDDLE,MATTHEWS,NC,62.38999939,06,08,2,1,2,2,457,89,546,1222,6,53,207,334,576,0,46,1222
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SOUTHWEST MIDDLE SCHOOL,CHARLOTTE,NC,76.23999786,06,08,2,1,2,2,661,133,794,1419,10,52,382,566,355,1,53,1419
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OAKLAWN LANGUAGE ACADEMY,CHARLOTTE,NC,37.70000076,KG,08,1,1,1,2,340,63,403,528,0,1,220,286,11,0,10,528
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CHANTILLY MONTESSORI,CHARLOTTE,NC,18.04999924,PK,06,1,2,1,2,37,20,57,302,0,8,27,67,193,0,7,302
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,COMMUNITY HOUSE MIDDLE,CHARLOTTE,NC,75.98000336,06,08,2,2,2,2,192,52,244,1638,3,229,176,213,976,1,40,1638
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MARTIN LUTHER KING JR MIDDLE,CHARLOTTE,NC,64.19000244,06,08,2,1,2,2,918,46,964,1079,4,18,385,613,38,2,19,1079
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,TORRENCE CREEK ELEMENTARY,HUNTERSVILLE,NC,31.14999962,KG,05,1,2,2,2,78,21,99,527,1,22,38,75,376,0,15,527
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MALLARD CREEK HIGH,CHARLOTTE,NC,117.7600021,09,12,3,1,2,2,825,193,1018,2286,12,118,186,1429,464,1,76,2286
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ELON PARK ELEMENTARY,CHARLOTTE,NC,56.75,KG,05,1,2,2,2,47,19,66,1128,1,278,64,90,670,3,22,1128
