ncessch,leanm,schnam,mcity,mstate,fte,gslo,gshi,level,titlei,magnet,chartr,frelch,redlch,totfrl,member,am,asian,hisp,black,white,pacific,tr,toteth
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,COULWOOD MIDDLE,CHARLOTTE,NC,45.29999924,06,08,2,1,2,2,526,67,593,725,3,22,106,501,69,0,24,725
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,DAVIDSON ELEMENTARY,DAVIDSON,NC,44.38000107,KG,05,1,2,2,2,82,8,90,725,1,21,57,38,593,3,12,725
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,DEVONSHIRE ELEMENTARY,CHARLOTTE,NC,37.75999832,KG,05,1,1,2,2,550,12,562,604,3,18,295,280,2,0,6,604
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,FIRST WARD ARTS ELEMENTARY,CHARLOTTE,NC,38.38000107,KG,05,1,1,1,2,389,47,436,548,3,1,99,387,38,0,20,548
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,REID PARK ACADEMY,CHARLOTTE,NC,55.95999908,PK,08,1,1,2,2,702,15,717,777,2,34,48,680,4,0,9,777
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,DRUID HILLS ACADEMY,CHARLOTTE,NC,49.41999817,PK,08,1,1,2,2,581,14,595,610,0,21,33,546,4,0,6,610
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,EAST MECKLENBURG HIGH,CHARLOTTE,NC,111.6900024,09,12,3,1,2,2,992,136,1128,1846,10,151,342,860,413,2,68,1846
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,EASTOVER ELEMENTARY,CHARLOTTE,NC,29.04999924,PK,05,1,2,2,2,103,7,110,464,1,5,10,120,314,2,12,464
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,EASTWAY MIDDLE,CHARLOTTE,NC,48.72000122,06,08,2,1,2,2,791,27,818,887,6,93,366,357,48,0,17,887
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ELIZABETH TRADITIONAL ELEMENTARY,CHARLOTTE,NC,32.95999908,KG,05,1,1,1,2,191,47,238,536,5,16,36,323,143,0,13,536
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HARDING UNIVERSITY HIGH,CHARLOTTE,NC,99.05000305,09,12,3,1,1,2,1243,99,1342,1671,8,52,421,1114,53,3,20,1671
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HICKORY GROVE ELEMENTARY,CHARLOTTE,NC,59.93000031,PK,05,1,1,2,2,805,64,869,1006,10,27,336,580,41,1,11,1006
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HIDDEN VALLEY ELEMENTARY,CHARLOTTE,NC,63.31000137,PK,05,1,1,2,2,875,24,899,946,3,13,432,467,14,8,9,946
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HIGHLAND RENAISSANCE ACADEMY,CHARLOTTE,NC,29.37000084,PK,05,1,1,2,2,426,29,455,502,7,8,173,289,15,6,4,502
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HUNTERSVILLE ELEMENTARY,HUNTERSVILLE,NC,44.91999817,KG,05,1,2,2,2,195,20,215,780,7,20,116,89,530,0,18,780
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HUNTINGTOWNE FARMS ELEMENTARY,CHARLOTTE,NC,57.97999954,KG,05,1,1,2,2,723,63,786,925,4,23,514,298,74,2,10,925
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,IDLEWILD ELEMENTARY,CHARLOTTE,NC,55.16999817,PK,05,1,1,2,2,628,47,675,822,0,73,308,355,78,0,8,822
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,INDEPENDENCE HIGH,CHARLOTTE,NC,125.3300018,09,12,3,1,2,2,1081,162,1243,2247,12,128,497,731,825,1,53,2247
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,J H GUNN ELEMENTARY,CHARLOTTE,NC,43.45999908,KG,05,1,1,2,2,524,60,584,720,3,13,239,344,98,1,22,720
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,KENNEDY MIDDLE,CHARLOTTE,NC,40.06000137,06,08,2,1,2,2,360,68,428,668,4,48,211,308,74,2,21,668
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,LANSDOWNE ELEMENTARY,CHARLOTTE,NC,38.97000122,KG,05,1,1,2,2,269,40,309,637,2,25,95,243,254,0,18,637
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,LONG CREEK ELEMENTARY,HUNTERSVILLE,NC,37.09999847,PK,05,1,1,2,2,225,40,265,500,1,27,55,260,143,0,14,500
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MATTHEWS ELEMENTARY,MATTHEWS,NC,52.5,PK,05,1,2,2,2,242,48,290,974,2,76,110,165,595,2,24,974
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MCCLINTOCK MIDDLE,CHARLOTTE,NC,49.66999817,06,08,2,1,2,2,584,45,629,770,3,46,159,459,83,0,20,770
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,METRO SCHOOL,CHARLOTTE,NC,37.36000061,PK,12,4,1,2,2,168,15,183,244,1,6,40,126,65,0,6,244
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MONTCLAIRE ELEMENTARY,CHARLOTTE,NC,40.81999969,PK,05,1,1,2,2,561,21,582,625,1,15,462,112,30,0,5,625
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MYERS PARK HIGH,CHARLOTTE,NC,150.9299927,09,12,3,2,2,2,814,71,885,2775,7,136,247,711,1621,0,53,2775
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MYERS PARK TRADITIONAL,CHARLOTTE,NC,39.22999954,KG,05,1,2,1,2,211,25,236,734,7,39,25,295,357,0,11,734
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,NATIONS FORD ELEMENTARY,CHARLOTTE,NC,44.68000031,PK,05,1,1,2,2,560,25,585,645,1,5,392,219,17,0,11,645
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,NEWELL ELEMENTARY,CHARLOTTE,NC,46.38999939,KG,05,1,1,2,2,622,24,646,724,5,17,385,273,25,0,19,724
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,NORTH MECKLENBURG HIGH,HUNTERSVILLE,NC,97.76999664,09,12,3,1,2,2,885,144,1029,1740,10,66,250,1025,341,2,46,1740
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,NORTHEAST MIDDLE,CHARLOTTE,NC,42.86999893,06,08,2,1,2,2,449,75,524,771,5,11,213,305,202,2,33,771
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,NORTHWEST SCHOOL OF THE ARTS,CHARLOTTE,NC,54.15000153,06,12,4,1,1,2,342,67,409,983,4,12,69,481,370,0,47,983
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OAKDALE ELEMENTARY,CHARLOTTE,NC,39.88999939,KG,05,1,1,2,2,535,41,576,690,3,18,106,515,32,1,15,690
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BRUNS ACADEMY,CHARLOTTE,NC,51.18000031,PK,08,1,1,2,2,736,15,751,809,1,11,68,716,6,1,6,809
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OLDE PROVIDENCE ELEMENTARY,CHARLOTTE,NC,38.18999863,KG,05,1,2,2,2,84,19,103,703,1,62,34,65,520,1,20,703
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PARK ROAD MONTESSORI,CHARLOTTE,NC,24.85000038,PK,06,1,2,1,2,38,16,54,500,3,36,35,84,322,0,20,500
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PAW CREEK ELEMENTARY,CHARLOTTE,NC,36.45999908,PK,05,1,1,2,2,396,34,430,544,7,17,173,291,50,0,6,544
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PIEDMONT IB MIDDLE,CHARLOTTE,NC,42.74000168,06,08,2,1,1,2,290,82,372,961,4,77,70,612,160,0,38,961
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PINEVILLE ELEMENTARY,PINEVILLE,NC,43.65999985,KG,05,1,1,2,2,396,50,446,771,2,39,224,179,310,1,16,771
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PINEWOOD ELEMENTARY,CHARLOTTE,NC,37.38000107,PK,05,1,1,2,2,420,27,447,564,3,28,254,196,79,2,2,564
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PINEY GROVE ELEMENTARY,CHARLOTTE,NC,53.84000015,PK,05,1,1,2,2,589,57,646,826,4,21,349,335,93,1,23,826
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,QUAIL HOLLOW MIDDLE,CHARLOTTE,NC,52.31000137,06,08,2,1,2,2,580,76,656,954,4,25,296,332,262,0,35,954
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,RAMA ROAD ELEMENTARY,CHARLOTTE,NC,40.68000031,PK,05,1,1,2,2,495,38,533,658,8,23,154,355,102,3,13,658
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,RANDOLPH MIDDLE,CHARLOTTE,NC,62.99000168,06,08,2,1,1,2,457,65,522,1197,3,92,225,411,417,1,48,1197
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,RANSON MIDDLE,CHARLOTTE,NC,54.88999939,06,08,2,1,2,2,857,90,947,1120,7,28,215,815,33,1,21,1120
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SEDGEFIELD ELEMENTARY,CHARLOTTE,NC,26.62000084,PK,05,1,1,2,2,371,9,380,405,0,4,99,284,17,0,1,405
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SEDGEFIELD MIDDLE,CHARLOTTE,NC,43.97000122,06,08,2,1,2,2,550,33,583,690,4,8,233,370,61,0,14,690
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SELWYN ELEMENTARY,CHARLOTTE,NC,47.34999847,KG,05,1,2,2,2,156,6,162,834,1,25,59,87,655,1,6,834
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SHAMROCK GARDENS ELEMENTARY,CHARLOTTE,NC,28.68000031,PK,05,1,1,2,2,320,21,341,436,0,10,92,240,82,0,12,436
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SHARON ELEMENTARY,CHARLOTTE,NC,46.06999969,KG,05,1,2,2,2,121,16,137,811,2,40,62,105,587,1,14,811
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WADDELL LANGUAGE ACADEMY,CHARLOTTE,NC,80.30000305,KG,08,1,2,1,2,361,52,413,1354,4,75,220,370,614,1,70,1354
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,SOUTH MECKLENBURG HIGH,CHARLOTTE,NC,147.8699951,09,12,3,1,2,2,1064,181,1245,2744,7,83,696,779,1095,1,83,2744
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,STATESVILLE ROAD ELEMENTARY,CHARLOTTE,NC,33,PK,05,1,1,2,2,423,28,451,517,3,9,56,420,14,1,14,517
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,STEELE CREEK ELEMENTARY,CHARLOTTE,NC,45.81999969,KG,05,1,1,2,2,450,72,522,728,1,41,250,348,74,0,14,728
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,STERLING ELEMENTARY,PINEVILLE,NC,38.27999878,PK,05,1,1,2,2,534,33,567,617,1,2,281,300,17,0,16,617
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,THOMASBORO ACADEMY,CHARLOTTE,NC,48.63999939,PK,08,1,1,2,2,695,29,724,792,3,97,80,574,24,3,11,792
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,TUCKASEEGEE ELEMENTARY,CHARLOTTE,NC,46.61000061,KG,05,1,1,2,2,588,64,652,783,1,68,238,413,46,1,16,783
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WEST CHARLOTTE HIGH,CHARLOTTE,NC,117.9400024,09,12,3,1,2,2,1359,96,1455,1698,10,101,89,1446,27,3,22,1698
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WEST MECKLENBURG HIGH,CHARLOTTE,NC,111.9400024,09,12,3,1,2,2,1308,162,1470,1931,12,108,340,1225,187,2,57,1931
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WESTERLY HILLS ACADEMY,CHARLOTTE,NC,39.79999924,PK,08,1,1,2,2,513,20,533,571,5,55,48,451,7,0,5,571
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WINDSOR PARK ELEMENTARY,CHARLOTTE,NC,59.95000076,PK,05,1,1,2,2,747,40,787,902,6,58,519,263,44,1,11,902
